Upc,Department,qty,cents,incltaxes,inclfees,Name,size,ebt,byweight,Fee Multiplier,cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
082301175014,Alcohol,1,2449,n,n,Serralles Don Q Gold,1.75L,n,n,1,1,1880,n,,6,,,,,,n,,,,,,,
082301175021,Alcohol,1,2449,n,n,Don Q Cristal Puerto Rican Rum,1.75L,n,n,1,1,1880,n,,6,,,,,,n,,,,,,,
082301175038,Rum,1,2639,n,n,Don Rico Crystal,750 ML,,n,1,1,2029,n,,0,,,,,,n,,,,,,,
082301175908,Alcohol,1,2449,n,n,DONQ COCO 1.75LTR,1.75L,n,n,1,1,1880,n,,6,,,,,0,n,,,,,,,
082301750013,Rum,1,1659,n,n,Don Q Gold Rum,750ml,n,n,1,1,1274,n,,0,,,,,0,n,,,,,,,
082301750020,Alcohol,1,1659,n,n,Don Q Cristal,750 ml,n,n,1,1,1274,n,,6,,,,,0,n,,,,,,,
082301750907,Rum,1,1659,n,n,Don Q Coco Puerto Rican Rum,750ml,n,n,1,1,1274,n,,6,,,,,0,n,,,,,,,
082301751522,Rum,1,2339,n,n,Don Q RUM 151 NUPC,750ml,n,n,1,1,1799,n,,6,,,,,0,n,,,,,,,
082301755605,Alcohol,1,2889,n,n,DON Q RUM RSV,750ml,n,n,1,1,2222,n,,3,,,,,0,n,,,,,,,
082301755636,Alcohol,1,5159,n,n,Don Q RUM GR RSV ANEJO,750ml,n,n,1,1,3974,n,,3,,,,,0,n,,,,,,,
082422489359,Alcohol,1,2959,n,n,Brandy Presidente Imported,1.75L,n,n,1,1,2275,n,,6,,,,,0,n,,,,,,,
