Upc,Department,qty,cents,incltaxes,inclfees,Name,size,ebt,byweight,Fee Multiplier,cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos,buycott_status,buycott_product_name,buycott_image_url,buycott_downloaded_file,buycott_error
"=""200582000003""",Whiskey,1,7799,n,n,Bandipur Whisky,,,n,1,1,6000,n,,"=""0""",,,,,,n,,,,,,,,error,,,,"HTTP 403: {""type"":""https://developers.cloudflare.com/support/troubleshooting/http-status-codes/cloudflare-1xxx-errors/error-1010/"",""title"":""Error 1010: Access denied"",""status"":403,""detail"":""The site owner has blocked access based on your browser's si"
"=""263973000006""",Vodka,1,2219,n,n,Ruslan Nepalese Vodka,750 ml,,n,1,1,1700,n,,"=""12""",,,,,,n,,,,,,,,not_found,,,,
"=""55921541""",Vodka,1,0,n,n,360 bing cherry,,,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,,error,,,,"HTTP 400: {""success"":false,""message"":""This is not a valid barcode""}"
